,Player,count,rating,Score,Position
0,Aaron Brooks,90,79.38555555555553,17,QB
1,Aaron Rodgers,141,103.17517730496456,35,QB
2,Akili Smith,21,56.05714285714286,37,QB
3,Akili Smith,21,56.05714285714286,26,QB
4,Alex Smith,141,85.7163120567376,40,QB
5,Andrew Luck,70,88.32571428571427,37,QB
6,Andy Dalton,93,90.8967741935484,29,QB
7,Anthony Wright,27,66.9148148148148,16,QB
8,Ben Roethlisberger,185,94.91891891891896,25,QB
9,Blaine Gabbert,43,74.03720930232559,42,QB
10,Blake Bortles,46,79.32608695652173,28,QB
11,Brady Quinn,24,61.50833333333332,29,QB
12,Brandon Weeden,33,83.42424242424244,27,QB
13,Brett Favre,235,87.28936170212766,22,QB
14,Brian Griese,92,82.9086956521739,39,QB
15,Brock Osweiler,30,75.33333333333333,25,QB
16,Brodie Croyle,17,66.9235294117647,24,QB
17,Brooks Bollinger,22,80.69,28,QB
18,Bruce Gradkowski,34,64.78823529411765,19,QB
19,Byron Leftwich,60,81.58500000000001,25,QB
20,Cam Newton,92,88.28260869565216,21,QB
21,Carson Palmer,175,88.3068571428571,26,QB
22,Carson Wentz,16,80.44375000000002,40,QB
23,Chad Henne,62,76.01774193548391,22,QB
24,Chad Pennington,89,90.06292134831463,25,QB
25,Charlie Batch,70,77.58142857142857,14,QB
26,Charlie Frye,25,68.66799999999999,38,QB
27,Charlie Whitehurst,20,72.33000000000001,33,QB
28,Chris Redman,23,75.01739130434783,16,QB
29,Chris Simms,22,64.50454545454545,22,QB
30,Chris Weinke,28,62.01428571428572,29,QB
31,Christian Ponder,37,74.21621621621622,35,QB
32,Colin Kaepernick,65,87.03076923076922,38,QB
33,Dak Prescott,16,105.63125,25,QB
34,Dan Marino,56,79.39285714285714,16,QB
35,Dan Orlovsky,23,70.33043478260869,26,QB
36,Daunte Culpepper,104,88.38173076923074,18,QB
37,David Carr,93,76.05161290322577,24,QB
38,David Garrard,82,86.76585365853657,14,QB
39,Derek Anderson,62,72.81290322580647,19,QB
40,Derek Carr,47,88.3255319148936,20,QB
41,Drew Bledsoe,150,80.69200000000001,36,QB
42,Drew Brees,232,96.80086206896564,28,QB
43,Drew Stanton,31,66.78387096774193,35,QB
44,Eli Manning,199,83.75477386934668,39,QB
45,Elvis Grbac,72,77.24444444444445,16,QB
46,Geno Smith,33,70.0939393939394,24,QB
47,Jake Locker,30,77.93333333333334,20,QB
48,Jameis Winston,32,87.559375,27,QB
49,Jason Campbell,88,81.11136363636359,23,QB
50,Jay Cutler,139,86.0877697841727,26,QB
51,Jeff Blake,87,77.32068965517242,17,QB
52,Jeff George,47,82.19148936170212,10,QB
53,Jimmy Clausen,21,60.16666666666666,23,QB
54,Joe Flacco,137,86.12481751824816,27,QB
55,John Elway,44,89.51136363636365,29,QB
56,John Skelton,20,59.925,24,QB
57,Josh Freeman,62,80.1290322580645,27,QB
58,Josh Johnson,17,60.94117647058823,24,QB
59,Kellen Clemens,35,63.43142857142857,35,QB
60,Ken Dorsey,16,52.73125,25,QB
61,Kevin Kolb,29,76.09310344827588,28,QB
62,Kirk Cousins,46,95.50217391304349,33,QB
63,Kordell Stewart,98,70.56938775510203,14,QB
64,Kyle Boller,61,69.7672131147541,27,QB
65,Kyle Orton,85,80.4305882352941,26,QB
66,Marc Bulger,96,85.05,29,QB
67,Marcus Mariota,27,93.5148148148148,33,QB
68,Mark Brunell,146,83.85684931506847,22,QB
69,Mark Sanchez,75,76.096,28,QB
70,Matt Flynn,29,68.56206896551723,38,QB
71,Matt Hasselbeck,177,82.20677966101694,29,QB
72,Matt Leinart,31,70.1,35,QB
73,Matt Ryan,142,95.68380281690142,32,QB
74,Matt Schaub,110,84.33272727272731,31,QB
75,Matthew Stafford,108,88.10185185185186,38,QB
76,Michael Vick,134,79.55447761194031,20,QB
77,Mike Glennon,20,87.63000000000001,26,QB
78,Nick Foles,41,90.62439024390245,29,QB
79,Patrick Ramsey,36,71.80277777777778,32,QB
80,Peyton Manning,265,97.00490566037745,28,QB
81,Quincy Carter,35,75.77428571428571,30,QB
82,Randall Cunningham,35,87.52000000000001,15,QB
83,Rex Grossman,53,70.21509433962267,29,QB
84,Rich Gannon,98,89.36836734693878,27,QB
85,Rick Mirer,35,58.37999999999999,31,QB
86,Rodney Peete,33,72.98181818181818,26,QB
87,Russell Wilson,80,99.92875000000001,28,QB
88,Ryan Fitzpatrick,124,79.96935483870968,48,QB
89,Ryan Leaf,25,50.904,27,QB
90,Ryan Tannehill,77,86.91428571428571,34,QB
91,Sage Rosenfels,26,81.78846153846156,32,QB
92,Sam Bradford,78,85.57692307692311,36,QB
93,Scott Mitchell,43,67.8302325581395,24,QB
94,Seneca Wallace,44,80.60681818181817,14,QB
95,Shaun Hill,45,84.98444444444445,25,QB
96,Shaun King,32,73.98437499999999,25,QB
97,Steve Young,45,96.69999999999997,33,QB
98,Tarvaris Jackson,54,83.77777777777777,19,QB
99,Teddy Bridgewater,29,86.9344827586207,20,QB
100,Terrelle Pryor,17,65.00588235294119,7,QB
101,Tim Couch,62,74.78870967741935,22,QB
102,Tim Tebow,23,77.89565217391304,22,QB
103,Tom Brady,237,97.00970464135017,33,QB
104,Tony Romo,127,99.26141732283463,37,QB
105,Trent Dilfer,106,73.24056603773585,22,QB
106,Trent Edwards,37,75.55405405405403,31,QB
107,Troy Aikman,67,79.74328358208957,29,QB
108,Troy Smith,16,80.92500000000001,15,QB
109,Tyler Thigpen,23,70.13478260869567,21,QB
110,Vince Young,59,74.28474576271185,15,QB
111,Vince Young,59,74.28474576271185,6,QB
112,Vinny Testaverde,116,81.19137931034481,17,QB
